feature,importance,abs_importance
massive layoffs,-0.11944892711048075,0.11944892711048075
announces massive,-0.11944892711048075,0.11944892711048075
earnings,-0.11944892711048075,0.11944892711048075
massive,-0.11944892711048075,0.11944892711048075
following,-0.11944892711048075,0.11944892711048075
following disastrous,-0.11944892711048075,0.11944892711048075
disastrous,-0.11944892711048075,0.11944892711048075
disastrous earnings,-0.11944892711048075,0.11944892711048075
layoffs,-0.11944892711048075,0.11944892711048075
layoffs following,-0.11944892711048075,0.11944892711048075
giant faces,-0.11634644166238936,0.11634644166238936
plummets,-0.11634644166238936,0.11634644166238936
investigation,-0.11634644166238936,0.11634644166238936
investigation stock,-0.11634644166238936,0.11634644166238936
faces regulatory,-0.11634644166238936,0.11634644166238936
faces,-0.11634644166238936,0.11634644166238936
regulatory,-0.11634644166238936,0.11634644166238936
giant,-0.11634644166238936,0.11634644166238936
regulatory investigation,-0.11634644166238936,0.11634644166238936
stock plummets,-0.11634644166238936,0.11634644166238936
