feature,importance,abs_importance
acquires,-0.19157131830348276,0.19157131830348276
acquires startup,-0.19157131830348276,0.19157131830348276
for millions,-0.19157131830348276,0.19157131830348276
for,-0.19157131830348276,0.19157131830348276
company acquires,-0.19157131830348276,0.19157131830348276
millions,-0.19157131830348276,0.19157131830348276
startup for,-0.19157131830348276,0.19157131830348276
startup,-0.19157131830348276,0.19157131830348276
announces,0.1764348011125518,0.1764348011125518
company announces,0.1764348011125518,0.1764348011125518
announces layoffs,0.13308152634020073,0.13308152634020073
layoffs,0.13308152634020073,0.13308152634020073
economic,0.10018008064704423,0.10018008064704423
growth,0.10018008064704423,0.10018008064704423
expectations,0.10018008064704423,0.10018008064704423
economic growth,0.10018008064704423,0.10018008064704423
growth beats,0.10018008064704423,0.10018008064704423
beats expectations,0.10018008064704423,0.10018008064704423
beats,0.10018008064704423,0.10018008064704423
raises interest,0.08835052657149121,0.08835052657149121
interest rates,0.08835052657149121,0.08835052657149121
raises,0.08835052657149121,0.08835052657149121
rates,0.08835052657149121,0.08835052657149121
interest,0.08835052657149121,0.08835052657149121
bank,0.08835052657149121,0.08835052657149121
central bank,0.08835052657149121,0.08835052657149121
central,0.08835052657149121,0.08835052657149121
bank raises,0.08835052657149121,0.08835052657149121
launch,0.08207911170486858,0.08207911170486858
tech company,0.08207911170486858,0.08207911170486858
new,0.08207911170486858,0.08207911170486858
new product,0.08207911170486858,0.08207911170486858
product,0.08207911170486858,0.08207911170486858
product launch,0.08207911170486858,0.08207911170486858
tech,0.08207911170486858,0.08207911170486858
announces new,0.08207911170486858,0.08207911170486858
all,0.07991605818217125,0.07991605818217125
time,0.07991605818217125,0.07991605818217125
stock market,0.07991605818217125,0.07991605818217125
stock,0.07991605818217125,0.07991605818217125
high,0.07991605818217125,0.07991605818217125
all time,0.07991605818217125,0.07991605818217125
reaches all,0.07991605818217125,0.07991605818217125
reaches,0.07991605818217125,0.07991605818217125
market reaches,0.07991605818217125,0.07991605818217125
market,0.07991605818217125,0.07991605818217125
time high,0.07991605818217125,0.07991605818217125
company,0.01633117909435785,0.01633117909435785
